罗林 中央宣传部新闻局新媒体管理处处长
丁光华 中国人民银行昆明中心支行科技处安全管理科科长

曾志 昆明市盘龙区教师进修学校副校长

肖正春 西藏自治区党委网信办网安处干部

刘尧环 西藏自治区通信管理局主任科员

郝晗 西藏自治区林芝市朗县互联网信息办公室干部

赵嘉安 陕西省商洛市委网信办主任

秦婧 中国人民银行西安分行主任科员

张荣成 陕西省汉中市西乡县网信办主任

邓伯虎 甘肃省委网信办副主任科员

车玉婧 中国人民银行兰州中心支行副主任科员

茹作刚 甘肃省酒泉市委宣传部副部长、网信办副主任

索南拉旦 青海省网信办网络新闻信息传播处主任科员

张倩 青海省海西州网信办主任

杨志强 青海省黄南州网信办干部

马爱萍 宁夏回族 自治区西吉县委宣传部副部长、网信办副主任

李晓龙 国网宁夏电力有限公司专责

周小衍 宁夏回族自治区石嘴山市网络安全和信息化办公室网络安全科副科长

拉苏荣 新疆维吾尔自治区党委网信办网络安全协调处干部

蔺伟亮 新疆维吾尔自治区乌鲁木齐市委网信办网新闻信息管理处负责人

杨让让 新疆维吾尔自治区阿克苏地委网信办新闻宣传科科长

王珂 成都市网络新闻信息中心副主任

李晨曦 成都市网络新闻信息中心宣传推广科科长

孙耒 成都全搜索科技有限责任公司副总编辑
