马道玖 交通运输部海事局政策法规处处长
王鹏程 甘肃省水运管理局运输处科员

强玉龙 甘肃省道路运输管理局副处长

王靖武 靖远县公安局交通警察大队杜寨柯中队中队长

蒋威 甘肃省道路运输管理局安全监督处科员
岳慧敏 西安城北客运有限责任公司“蒲公英班组”组长

江贵基 西安顺丰速运有限公司收派员

王喻青 商洛市汽车运输总公司高客公司办公室主任

李燕妮 西部机场集团航空地勤(西安)有限公司国际客运部副班组长

王健 陕西省高速公路建设集团公司西渭分公司临潼管理所副所长

肖立刚 西部机场集团有限公司迅邦达服务公司现场服务一部经理

冯军科 陕西省宝鸡公路管理局干线公路科科长

赵武斌 西安市公安局交通警察支队莲湖大队副大队长

杜雅 洛南县公安局交通警察大队大队长

刘东晓 宜川县公安局交通警察大队大队长

闫波 陕西省安全生产监督管理局监管二处主任科员

寇亮 延安市宝塔区安全生产监督管理局局长
巴桑卓玛 中国铁路青藏集团有限公司拉萨车站计划员

向巴登真 昌都市顺康客运有限责任公司昌都客运站站长

仝德明 西藏自治区公路局林芝公路分局工布江达公路养护段科员

旺堆 西藏自治区交通运输厅路网监测与应急处置中心助理工师

慰超 拉萨贡嘎机场运行指挥中心运行指挥室负责人

范晓玲 西藏自治区道路运输管理局主任科员

次仁永忠 那曲市公安局交通警察支队民警

穷达日喀则市公安局交通警察支队法制宣传科科长

吴延俊 西藏自治区总工会法律保障部主任科员
刘春宏 昆明地铁运营有限公司运营事业部经理

杨志环 中国民用航空西南地区空中交通管理局云南分局气象台预报室副主任

毛艳艳 西双版纳机场地服部值机班组副班组长

张帅 东方航空云南有限公司地面服务部高级经理

张敏 云南交通投资建设集团有限公司云岭高原养护工程有限公司总经理

万昆 云南省公路路政管理总队东部高速公路管理支队曲陆大队大队长

李宝春 云南省道路运输管理局主任科员

芮俊东 云南省航务管理局运输管理处副处长

农布次里 迪庆藏族自治州公安局交通警察支队德钦县大队燕门中队民警

周祖峰 云南省安全生产监督管理局协调处副主任科员

陈莲 昭通公路局彝良公路分局工会主席
吕剑利 贵州高速公路集团有限公司水城营运管理中心站长

肖建军 贵州盘兴高速公路有限公司清水河收费站站长

成倩 贵州交通信息与应急指挥中心工程师

李作勇 黔南州道路运输管理局城乡客运科副科长

王勇 凯里市道路运输管理局局长

毛铎文 贵州省道路运输管理局主任科员

冯世华 贵州航空港物流产业发展有限公司站坪保障部机坪作业组组长

黄杰 贵阳邮区中心局邮件运输中心驾驶员

刘浩亮 贵州省毕节市公安局交通警察支队副支队长

唐高林 贵州省安全生产监督管理局主任科员

卯卿 贵州省总工会副主任科员

郑斌 贵州省青年创业就业服务中心项目部长
林好 四川南充汽车运输(集团)有限公司驾驶员

蔡剑平 四川亚细亚运业有限公司驾驶员

曾敏 四川川航物流有限公司安检员

张宏 四川顺丰速运有限公司工单处理员

苏铁 四川成德南高速公路有限责任公司服务区主任

张文艳 中国国际航空股份有限公司西南分公司地面服务部旅客服务中心领班

刘宗林 峨边县交通运输局副局长

朱军烈 四川省交通运输厅航务管理局主任科员

陆东海 四川省交通运输厅高速公路管理局政策法规处处长

白钢 四川省交通运输厅高速公路交通执法总队第五支队五大队大队长

曹先鑫 德阳市公安局交通警察支队直属二 大队副大队长

杨丽莎 四川省公安厅机场公安局候机楼派出所主任科员

何东航 成都市龙泉驿区安全生产监督管理局安监一科副科长
钱文勇 重庆迅为四公里交通换乘枢纽有限公司站长

朱建 重庆市轨道交通(集团)有限公司运营一公司乘务一队车队长

陈四友 中国邮政集团公司重庆市邮区中心局邮件运输中心长途邮运驾驶员

刘学荣 重庆市万州区交通委员会党委委员、运输管理处处长

吴鹏飞 重庆市交通行政执法总队高速公路第一支队六大队大队长

胡利 重庆市港航管理局运输管理处主任科员

邹超 重庆市道路运输管理局出租汽车管理处副处长

谭毅 重庆市交通委员会综合运输管理处副处长

徐佳地 重庆市安全生产监督管理局监管二处主任科员

张文军 重庆市开州汽车客运有限责任公司经理

吴怡然 重庆市交通行政执法总队高速公路五支队指挥中心副主任科员
杨叙波 海南省际运输有限公司总经理、党委书记

金圣淇 海南铁路有限公司海 口机辆轮渡段南港管理所副主任

张孟民 海南海峡航运股份有限公司船长

陈昌锋 海南海峡航运股份有限公司调度室主任

张冠桥 海南省琼州海峡轮渡运输管理办公室主任

张越佳 海南省交通运输厅副厅长

张昌雄 海口市公安局交通警察支队龙华大队科员

贺建华 海南省安全生产监督管理局监管一处处长

欧阳资 共青团海口市委员会志工部副部长
丘明 广西运美运输集团有限公司容县汽车总站驾驶员

黄继强 南宁市第三运输公司出租汽车分公司驾驶员

梁家慈 北部湾旅游股份有限公司北海国际客运港大厅咨询员

莫斌 桂林市航务管理处副主任

宋丹 广西机场管理集团有限责任公司北海机场管制室主任

李武 广西机场管理集团有限责任公司南宁机场安全检查站旅检科中队长

罗光明 中国邮政集团公司广西壮族自治区分公司邮件运输中心机要专班驾驶员

蒋小龙 桂林高速公路管理处桂林路政执法大队副大队长

王仁军 柳州高速公路管理处象州路政执法大队路政员

罗大兆 贺州市公安局交通警察支队三大队大队长

吴家芳 贺州市总工会困难职工帮扶部部长

邓惠琼 贵港市佳盛职业培训学校贵港“冬日暖阳、情满旅途”服务站站长
黄锦波 中国铁路广州局集团有限公司客运处副所长

赖威 广梅汕铁路有限责任公司惠州车务段东莞东站客运值班员

雷成标 广州市第二公共汽车公司营运管理员

许国聪 清远市粤运汽车运输有限公司清远分公司经理

田增华 广东省高速公路有限公司京珠北分公司总经理

张原 广东省琼州海峡轮渡运输管理办公室副科长

罗惠英 珠海市珠港机场管理有限公司行李室组长

窦艳杰 广州市交通运输管理局道路运输管理科科长

陈凌青 广东省交通运输厅综合运输处主任科员

李伟标 德庆县公安局交通警察大队教导员

冯进富 韶关市公安局交通警察支队高速公路一大队办公室副主任

莫湘湘 中国民用航空广东安全监督管理局运输处主任科员

符玉君 共青团广州市越秀区委员会书记
余吟泉 湖南省高速公路建设开发总公司岳阳管理处大界收费站负责人

常添姿 湖南郴州汽车运输集团有限责任公司郴州汽车西站客运服务部主任

谭建平 株洲市攸县公路管理局王家坊养护站站长

易智勇 湖南省洪江市地方海事处处长

朱娟 湖南省交通运输厅运输处主任科员

卿笑天 冷水江市公安局交通警察大队一中队民警

许非非 常德市公安局交通警察支队直属二大队三中队指导员

盛亮 湖南省高速公路交通警察局常德支队德山大队事故中队民警

朱琛 湖南省高速公路交通警察局株洲支队茶陵大队勤务一中队民警

陈文佳 郴州市安全生产监督管理局综合协调科负责人

姚晓军 益阳市安全生产监督管理局综合协调科科长

肖敏 邵阳市总工会法律保障部副部长

王鹏 株洲市大同社会工作服务中心总干事
钟军桥 武汉市公安局交通管理支队事故预防与处理大队民警

柯学 湖北省公安厅高速公路交通警察总队七支队麻城大队大队长

樊立 湖北省安全生产监督管理局综合协调处调研员

潘昌华 宜昌市伍家岗区微炬社会公益服务中心主任

胡龙丹 武汉中商鹏程销品茂管理有限公司经理

罗忠海 中国南方航空股份有限公司湖北分公司运行指挥部经理

杨创祎 神农架林区公路管理局局长

李茂军 十堰市道路运输管理局茅箭运管所所长

阮成威 黄冈市道路运输管理局科长

宋滉 恩施土家族苗族自治州道路运输管理处办公室科员

雷明凤 湖北省长阳县港航管理局所长

阳升 湖北省交通运输厅高速公路管理局综合计划处副处长
张艳丽 开封市公共交通总公司二 公司、六公司经理

李志刚 新乡市新运交通运输有限公司副总经理

秦绍雷 漯河市公共交通有限责任公司105路车长

杨洋 河南省12328电话服务中心话务二班班长

蔡守奇 中国南方航空河南航空有限公司市场销售部销售中心主任

张惠涛 郑州市邮政管理局市场监管处处长

陈芳 河南省交通运输厅运输管理处副处长

刘庆 河南省交通运输厅运输管理处主任科员

谢育健 洛阳市公安局交通警察支队宣传科科长

邱慧莉 长垣县公安交通警察大队副大队长

刘齐 河南省安全生产监督管理局监管二处处长

赵春 三门峡市总工会困难职工帮扶中心副主任

李山英 共青团河南省委员会社会联络部部长
林炎 山东省交通运输集团有限公司济南长途汽车总站检票员

谭森 烟台交运集团有限责任公司客运旅游部部长

王立山 山东高速股份有限公司济青济南路管分中心中队长

崔福祥 威海市海大客运有限公司船长

刘常春 济南国际机场股份有限公司飞行区管理部场务管理科科长

王瑞丽 维坊市公路管理局安全科副科长

邵辉 山东省交通运输厅道路运输局客运管理处主任科员

王允递日照市公安局交通警察支队山海天旅游度假区大队两城中队中队长

王秀忠 滨州市公安局交通警察支队经济技术开发区大队二中队中队长

卢承松 山东省安全生产监督管理局综合监督管理处调研员

宋全森日照市总工会权益保障部部长

赵颖 山东省济宁监狱金桥分监狱科员
钟富平 江西畅行高速公路服务区开发经营有限公司萍乡服务区主 任

阮津 江西省公路路政管理总队综治办副主任

冯志远 江西省高速公路投资集团有限责任公司抚州管理中心熊村收费所系统管理员

刘跃东 江西省宜春汽车运输股份有限公司驾驶员

唐嘉立 江西省交通运输厅应急指挥中心科员

熊芬 江西省港航管理局运输处副处长

吴心国 德兴市公安局交通警察大队新岗山中队中队长

陈霄 江西省公安厅交通管理局高速公路交通警察总队直属八支队第一大队科员

祝丽萍 上饶市总工会权益保障部部长

程潮 江西青年职业学院城市轨道交通运营管理专业学生
孙黎平 福建省三明市公共交通公司驾驶员

张世凤 厦门轮总海上客运旅游有限公司副总经理

罗胜林 福州市交通综合行政执法支队一大队火车北站执法所负责人

李铁城 福建省交通综合行政执法总队漳州高速公路支队副支队长

袁燕飞 福建省公路管理局科员

叶巍 福建省运输管理局科员

谢清泉 福建省邮政管理局市场监管处主任科员

陈永健 宁德市公安局交通警察支队事故大队副大队长

侯静 福建省公安厅交通警察总队莆田高速公路支队二大队二中队指导员

曾华扬 福建省安全生产监督管理局副调研员

许锡平 福州市青年志愿者协会副会长
张树梅 中国铁路上海局集团有限公司合肥客运段动车车队队长

胡卫国 安徽省阜阳市汽车运输集团有限公司运输部部长

徐建东 安徽省公路管理局资产设备处处长

李宝 阜阳市交通运输局副主任科员

牛靖 安徽省交通运输联网管理中心主管

谢飞刚 歙县地方海事(港航管理)处综合科办事员

王连磊 安徽省道路运输管理局科技处科员

朱沈生 安徽民航机场集团有限公司合肥机场分公司候管部客运科客运员

陶洋 中国邮政集团公司安徽省芜湖市分公司邮区中心局运输中心主任

朱运泽 安徽省公安厅交通警察总队秩序处民警

马文明 安徽交运集团滁州汽运有限公司滁州汽车中心站工会主席

陈又丁 蚌埠市总工会权益保障部部长

单珊 共青团中国铁路上海局集团有限公司合 肥站委员会负责人
袁军 杭州长运运输集团有限公司常务副总经理

陈捷 宁波市海曙区南站广场区域综合管理办公室副科长

王胜 温州市公路管理局高速大队副大队长

陈刚 温州机场集团有限公司地面服务公司总经理

李斯达 义乌市交通运输局科员

赵立中 杭州市交通运输局主任科员

钱卫兵 杭州市港航管理局副处长

秦云镇 嘉兴市道路运输管理局副局长

翁结群 温州市道路运输管理局党委书记、局长

金叶 长兴县公安局交通警察大队金夹中队中队长

傅颖凯 舟山市安全生产监督管理局科员

章柳雅 杭州市富阳区总工会职工服务中心副主任

郑中衡 共青团杭州市上城区委员会科员
李渊 中国铁路上海局集团有限公司南京站党总支书记

顾晓平 江苏省交通行业宣传教育中心编辑部副主任

李永春 连云港市运输管理处党委书记

戴斌 苏州市交通运输局运政稽查支队一大队副大队长

樊荣 江苏省高速公路交通运输执法总队宁沪支队第四大队科员

陈荣良 苏南硕放国际机场有限公司安全检查部经理

曹佳雯 江苏省交通运输厅运输管理局政工科工作人员

蒋国林 镇江市公安局交通警察支队副支队长

吴海军 淮安市公安局交通警察支队高速一大队大队长

贺波 连云港市安全生产监督管理局处长

杨夏宁 江苏省交通运输厅海员交通工会主任科员

陈钰根 苏州市总工会权益保障部部长

邓文君 常州市交通运输局团委副书记
高煜 上海地铁第一运营有限公司虹桥火车站站值班站长

王慧 上海交运巴士长途西站客运有限公司党支部书记、经理

曾沉飞 上海市码头管理中心(航道管理中心)港务监管科科员

寇传辉 上海市路政局道路养护处行业管理科科长

史志瑛 上海国际机场股份有限公司航站区管理部现场运行科现场运行值班长

苏廷毅 上海市交通委员会行政服务中心团支部副书记

唐炜祺 中国铁路上海局集团有限公司团委宣传部部员

胡俊 上海中国航海博物馆团委副书记

黄萍 上海市交通委员会交通指挥中心热线管理科科员

王仕峰 上海巴士公交(集团)有限公司团委书记

丁文捷 上海市公用事业学校中职团总支副书记

瞿蕾 上海强生控股股份有限公司团委书记
宁忠丽 中国铁路哈尔滨局集团有限公司齐齐哈尔站客运值班主任

郑志勇 中国铁路哈尔滨局集团有限公司齐齐哈尔客运段北京车队列车长

李清武 大庆客运集团股份有限公司驾驶员

王刚 七台河市运输有限责任公司总经理

马歆瑞 哈尔滨市运输管理处处长

王荣生 黑龙江省道路运输管理局局长助理

秦志宏 黑龙江省机场管理集团有限公司哈尔滨太平国际机场旅客服务部值机配载室值机员

刘华锋 黑龙江省公安厅交通警察总队高速公路交警支队哈双大队大队长

张延斌 哈尔滨市安全生产监督管理局副主任

吕昆鸿 中国铁路哈尔滨局集团有限公司哈尔滨客运段哈大高铁车队队长
李晓明 扶余市公路客运总站站长

王铁峰 榆树市客运集团有限责任公司总经理

郭家荣 吉林省大安市运输管理所所长

孙时伟 白城市运输管理处党总支书记

谭岩 吉林省森林公安局泉阳森林公安分局交通警察大队大队长

孟敬东 白城市公安局交通警察支队洮北大队民警

李松岩 梅河口市安全生产监督管理局副局长

黄宇 吉林省安全生产监督管理局综合监管一处副主任科员

沈智峰 共青团白城市委员会社会联络部负责人

李佩瑾 长春市火车站地区管理局科员
孙洪喆 中国铁路沈阳局集团有限公司大连站副站长

孟令军 沈阳经纬客运有限公司总经理

吕子强 沈阳空港物流有限公司站坪保障部行李保障室主任

张伟 阜新市运输管理处科长

岳文启 葫芦岛市运输管理处处长

王帷洋 辽宁省交通运输厅港航管理局科员

高成男 辽宁省交通运输厅运输管理局科员

杜勇 葫芦岛市公安局交通警察支队巡防二大队大队长

刘飞 辽宁省安全生产监督管理局副处长

迟秉颇 大连市总工会农民工工作部部长

关秋佳 共青团辽宁轨道交通职业学院委员会副书记
杜学敏 内蒙古乌兰察布市(集宁)长途汽车安检班长

胡晓峰 内蒙古自治区赤峰市元宝山区平庄汽车站站长

袁宏伟 内蒙古自治区交通运输管理局城乡客运管理科科员

程沛尧 内蒙古自治区呼和浩特市道路运输管理局客运科科员

任梅斌 内蒙古包头市交通运输管理处客运科科员

王爽 内蒙古自治区通辽市交通运输管理处副科长

孙铁 内蒙古自治区鄂尔多斯市道路运输管理局客运科科长

马欣 内蒙古自治区公安厅交通管理局秩序管理支队副主任科员

陈莎娜 内蒙古自治区民航机场集团有限责任公司地面服务分公司客运部值机控制员

布音达来 内蒙古自治区鄂尔多斯市公路管理局乌审旗公路管理工区养护工
葛运珑 临汾民航机场有限公司运输服务部负责人

梁寅 长治市道路运输管理处客运科科长

赵军 山西省地方海事局运输管理处处长

张兴慧 山西省公路局养路处干事

杨耀红 山西省治理非法超限超载车辆工作领导组办公室稽查 队长

曹葆光 大同市道路运输管理处御东运管所所长

李岩 山西省道路运输管理局客运管理处副处长

常建忠 晋中市公安局交通警察支队副支队长

李鹏伟 晋中市安全生产监督管理局科员

闫鑫 山西省总工会保障工作部副主任科员

温欣 山西大同大学青年志愿者协会常务副主席
田明 中国铁路北京局集团有限公司石家庄客运车间主任

许宁 河北交通投资集团公司京石高速公路开发有限公司收费站值班站长

单昕 河北省交通宣传中心记者

梁秀山 承德市双滦交通出租汽车有限责任公司出租汽车司机

李士凯 河北衡水运输集团有限公司党委书记、董事长

张瑞文 张家口市交通运输局安委办科员

崔振刚 河北省道路运输管理局客运科科员

栗辉 河北省交通运输厅公路管理局办公室副主任

王静 河北省交通运输厅综合运输处干部

芮清红 保定市公安局交通警察支队公路巡警大队大队长

杨楠 河北省安全生产监督管理局宣传教育中心科员

周磊 邯郸市总工会保障部副部长
朱永茂 中国铁路北京局集团有限公司天津客运段党委书记

王雄杰 天津市客运交通管理办公室公汽处科员

张浩 天津市高速公路管理处信息服务中心业务部部长

刘任然 天津市道路运输管理处科员

刘会全 天津滨海国际机场地勤服务部特种车辆司机

王海宁 天津市邮政管理局第一分局科长

刘羽 天津市公安局公共交通治安分局长途支队副支队长

郝磊 天津市安全生产监督管理局 主任科员

何健 天津长客运业有限公司西站客运站安检员

刘鹏 天津市公共交通三公司8路车队驾驶员
王泽方 中国铁路北京局集团有限公司北京客运段副段长

韩勇 中国铁路北京局集团有限公司客运处科长

梁海晨 北京首汽(集团)股份有限公司副总经理

陈瑾 北京京港地铁有限公司高级站长

白洁 北京祥龙赵公口客运站经营有限公司班长

何阳 北京市交通委员会运输管理局丰台管理处科员

李建华 北京市交通委员会运输管理局公交处副调研员

孙岩 北京市交通委员会轨道交通运营监管处主任科员

赵春 北京民航机场巴士有限公司运营经理

牛建明 北京市邮政管理局市场监管处副处长

宋玉芳 中国民用航空北京安全监督管理局运输处处长

刘赢 北京市志愿服务指导中心项目发展部干部
